date,devices,added,removed,scaled
2022/04/30 17:23:53,8,8,0,-10
2022/04/30 17:24:09,12,4,0,-8
2022/04/30 17:24:26,12,0,0,-8
2022/04/30 17:24:42,13,1,0,-8
2022/04/30 17:24:58,14,1,0,-8
2022/04/30 17:25:14,18,4,0,-6
2022/04/30 17:25:30,20,2,0,-6
2022/04/30 17:25:46,22,2,0,-5
2022/04/30 17:26:02,23,1,0,-5
2022/04/30 17:26:18,25,2,0,-4
2022/04/30 17:26:34,26,1,0,-4
2022/04/30 17:26:50,28,2,0,-3
2022/04/30 17:27:06,31,3,0,-2
2022/04/30 17:27:22,32,1,0,-2
2022/04/30 17:27:39,32,0,0,-2
2022/04/30 17:27:55,30,2,4,-3
2022/04/30 17:28:11,31,3,2,-2
2022/04/30 17:28:27,33,2,0,-2
2022/04/30 17:28:43,34,2,1,-1
2022/04/30 17:29:00,32,0,2,-2
2022/04/30 17:29:16,29,1,4,-3
2022/04/30 17:29:32,29,1,1,-3
2022/04/30 17:29:48,30,2,1,-3
2022/04/30 17:30:04,30,1,1,-3
2022/04/30 17:30:20,29,1,2,-3
2022/04/30 17:30:36,30,2,1,-3
2022/04/30 17:30:52,28,0,2,-3
2022/04/30 17:31:08,25,0,3,-4
2022/04/30 17:31:24,26,1,0,-4
2022/04/30 17:31:40,28,2,0,-3
2022/04/30 17:31:57,26,1,3,-4
2022/04/30 17:32:13,25,1,2,-4
2022/04/30 17:32:29,24,2,3,-5
2022/04/30 17:32:45,26,4,2,-4
2022/04/30 17:33:01,30,4,0,-3
2022/04/30 17:33:17,33,5,2,-2
2022/04/30 17:33:33,38,7,2,0
2022/04/30 17:33:49,40,4,2,0
2022/04/30 17:34:05,43,3,0,0
2022/04/30 17:34:21,43,1,1,0
2022/04/30 17:34:38,43,1,1,0
2022/04/30 17:34:54,44,2,1,1
2022/04/30 17:35:10,47,3,0,2
2022/04/30 17:35:26,49,3,1,2
2022/04/30 17:35:42,49,2,2,2
2022/04/30 17:35:58,51,3,1,3
2022/04/30 17:36:14,52,1,0,3
2022/04/30 17:36:30,52,3,3,3
2022/04/30 17:36:47,48,1,5,2
2022/04/30 17:37:03,47,3,4,2
2022/04/30 17:37:19,51,7,3,3
2022/04/30 17:37:35,48,3,6,2
2022/04/30 17:37:51,43,0,5,0
2022/04/30 17:38:07,45,4,2,1
2022/04/30 17:38:23,44,1,2,1
2022/04/30 17:38:39,44,1,1,1
2022/04/30 17:38:56,43,2,3,0
2022/04/30 17:39:12,41,1,3,0
2022/04/30 17:39:28,37,0,4,0
2022/04/30 17:39:44,37,1,1,0
2022/04/30 17:40:00,35,0,2,-1
2022/04/30 17:40:16,38,4,1,0
2022/04/30 17:40:32,36,0,2,-1
2022/04/30 17:40:48,36,1,1,-1
2022/04/30 17:41:04,35,1,2,-1
2022/04/30 17:41:20,30,0,5,-3
2022/04/30 17:41:36,32,4,2,-2
2022/04/30 17:41:52,30,0,2,-3
2022/04/30 17:42:08,27,0,3,-4
2022/04/30 17:42:24,26,0,1,-4
2022/04/30 17:42:40,25,0,1,-4
2022/04/30 17:42:57,25,1,1,-4
2022/04/30 17:43:13,24,0,1,-5
2022/04/30 17:43:29,26,2,0,-4
2022/04/30 17:43:45,25,1,2,-4
2022/04/30 17:44:01,28,3,0,-3
2022/04/30 17:44:17,25,0,3,-4
2022/04/30 17:44:33,25,1,1,-4
2022/04/30 17:44:49,26,2,1,-4
2022/04/30 17:45:05,27,3,2,-4
2022/04/30 17:45:21,34,7,0,-1
2022/04/30 17:45:37,33,3,4,-2
2022/04/30 17:45:54,36,3,0,-1
2022/04/30 17:46:10,38,2,0,0
2022/04/30 17:46:26,40,2,0,0
2022/04/30 17:46:42,41,1,0,0
2022/04/30 17:46:58,41,2,2,0
2022/04/30 17:47:14,43,2,0,0
2022/04/30 17:47:30,42,1,2,0
2022/04/30 17:47:46,44,3,1,1
